[2020-08-13.853 13:28:16] [Lua] [info] "[System]" Money.Gold = 0, reason is "init"	
[2020-08-13.854 13:28:16] [Lua] [info] "[System]" Money.Silver = 0, reason is "init"	
[2020-08-13.019 13:50:20] [Lua] [info] "[System]" Money.Gold = 0, reason is "init"	
[2020-08-13.020 13:50:20] [Lua] [info] "[System]" Money.Silver = 0, reason is "init"	
[2020-08-13.128 17:00:01] [Lua] [info] "[System]" Money.Gold = 0, reason is "init"	
[2020-08-13.129 17:00:01] [Lua] [info] "[System]" Money.Silver = 0, reason is "init"	
[2020-08-13.960 17:10:17] [Lua] [info] "[System]" Money.Gold = 0, reason is "init"	
[2020-08-13.960 17:10:17] [Lua] [info] "[System]" Money.Silver = 0, reason is "init"	
[2020-08-13.907 17:10:33] [Lua] [info] "[System]" Money.Gold = 0, reason is "init"	
[2020-08-13.908 17:10:33] [Lua] [info] "[System]" Money.Silver = 0, reason is "init"	
[2020-08-13.982 17:12:44] [Lua] [info] "[System]" Money.Gold = 0, reason is "init"	
[2020-08-13.982 17:12:44] [Lua] [info] "[System]" Money.Silver = 0, reason is "init"	
[2020-08-13.527 17:15:23] [Lua] [info] "[System]" Money.Gold = 0, reason is "init"	
[2020-08-13.528 17:15:23] [Lua] [info] "[System]" Money.Silver = 0, reason is "init"	
[2020-08-13.401 17:16:11] [Lua] [info] "[System]" Money.Gold = 0, reason is "init"	
[2020-08-13.402 17:16:11] [Lua] [info] "[System]" Money.Silver = 0, reason is "init"	
[2020-08-13.656 17:20:36] [Lua] [info] "[System]" Money.Gold = 0, reason is "init"	
[2020-08-13.657 17:20:36] [Lua] [info] "[System]" Money.Silver = 0, reason is "init"	
[2020-08-13.507 17:21:21] [Lua] [info] "[System]" Money.Gold = 0, reason is "init"	
[2020-08-13.507 17:21:21] [Lua] [info] "[System]" Money.Silver = 0, reason is "init"	
[2020-08-13.630 17:21:28] [Lua] [info] "[System]" Money.Gold = 0, reason is "init"	
[2020-08-13.631 17:21:28] [Lua] [info] "[System]" Money.Silver = 0, reason is "init"	
[2020-08-13.435 18:58:03] [Lua] [info] "[System]" Money.Gold = 0, reason is "init"	
[2020-08-13.435 18:58:03] [Lua] [info] "[System]" Money.Silver = 0, reason is "init"	
[2020-08-13.305 18:59:32] [Lua] [info] "[System]" Money.Gold = 0, reason is "init"	
[2020-08-13.306 18:59:32] [Lua] [info] "[System]" Money.Silver = 0, reason is "init"	
[2020-08-13.556 19:01:51] [Lua] [info] "[System]" Money.Gold = 0, reason is "init"	
[2020-08-13.557 19:01:51] [Lua] [info] "[System]" Money.Silver = 0, reason is "init"	
[2020-08-13.662 19:02:22] [Lua] [info] "[System]" Money.Gold = 0, reason is "init"	
[2020-08-13.663 19:02:22] [Lua] [info] "[System]" Money.Silver = 0, reason is "init"	
[2020-08-13.675 19:04:03] [Lua] [info] "[System]" Money.Gold = 0, reason is "init"	
[2020-08-13.676 19:04:03] [Lua] [info] "[System]" Money.Silver = 0, reason is "init"	
